"REPORTED_NAME","DESCRIPTION","n","mean","sd","MU"
"Fat","Std 1",16,1.739,0.007,0.014
"Fat","Std 2",16,2.697,0.006,0.012
"Fat","Std 3",15,4.063,0.013,0.026
"Fat","Std 4",15,4.875,0.006,0.012
"Fat","Std 5",13,5.618,0.011,0.022
"Protein [True]","Std 1",16,3.144,0.008,0.016
"Protein [True]","Std 2",16,3.348,0.011,0.022
"Protein [True]","Std 3",15,3.46,0.011,0.022
"Protein [True]","Std 4",15,3.671,0.008,0.016
"Protein [True]","Std 5",13,3.845,0.007,0.014
