A,B,C,D
12.39,12.41,12.44,12.39
12.37,12.41,12.39,12.38
12.37,12.38,12.4,12.35
12.39,12.37,12.38,12.42
12.39,12.41,12.41,12.37
12.35,12.35,12.38,12.41
12.37,12.39,12.38,12.38
12.39,12.4,12.41,12.36
12.4,12.38,12.42,12.37
12.4,12.37,12.41,12.42
12.39,12.42,12.4,12.4
12.39,12.42,12.36,12.35
12.38,12.35,12.36,12.38
12.4,12.39,12.38,
,12.4,12.37,
,12.38,,
